cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
noise_re1	icd_chapter	XIX	True	9	5.08	6	0.574	3.34	0.3204	0.3204	0.978010994502749	-1.012	0.844120325112301	0.254	0.1996	0.3069	1	0.298	0.298	0.589	0.872584074691731	1	12	5
noise_re1	icd_chapter	XV	True	23	11.5	12	0.326	4.43	0.3057	0.3086	0.999000499750125	-1.497	0.93275535380101	0.2449	0.2058	0.2832	0.994	0.2746	0.2729	0.303	0.998330084506444	1	13	5
noise_re1	icd_chapter	III	True	4	3	1	0.508	2.02	0.2936	0.2941	0.916541729135432	-1.002	0.84179238585343	0.21	0.1465	0.2718	1	0.234	0.234	0.097	0.997343229237823	1	14	5
noise_re1	icd_chapter	VII	True	27	16.31	10	0.191	3.92	0.1955	0.1982	1	-2.69	0.996422271899881	0.1408	0.1097	0.1716	0.935	0.1793	0.1675	0.153	0.999999286896696	1	15	5
noise_re1	icd_chapter	II	True	22	11.19	6	0.29	3.95	0.1597	0.1544	1	-2.715	0.996688661325322	0.0674	0.0346	0.0999	0.843	0.145	0.1223	0.097	0.999999953886022	1	16	5
noise_re2	icd_chapter	X	True	40	14	28	0.528	7.87	0.7801	0.7827	0.000499750124937531	2.096	0.0180419943257891	0.2301	0.1901	0.2693	1	0.2424	0.2424	8.019	1.83113103428355e-09	0.00399800099950025	1	5
noise_re2	icd_chapter	V	True	42	13.07	28	0.654	8.89	0.7654	0.7675	0.000499750124937531	1.91	0.0280866455641755	0.2707	0.2251	0.315	1	0.2691	0.2691	6.835	1.06334696921725e-08	0.00399800099950025	2	5
noise_re2	icd_chapter	XIII	True	81	30.64	23	0.464	14.75	0.5671	0.5734	0.0304847576211894	0.498	0.309381836816486	0.1694	0.1311	0.2072	0.982	0.1719	0.1688	1.131	0.370719071992442	0.162585373979677	3	5
noise_re2	icd_chapter	I	True	4	3	3	0.522	2.04	0.6775	0.679	0.12143928035982	0.856	0.196066301340546	0.209	0.1393	0.2767	1	0.2077	0.2077	8.555	0.0580199310800234	0.48575712143928	4	5
noise_re2	icd_chapter	IV	True	18	11.04	3	0.335	4.36	0.5445	0.5464	0.252873563218391	0.307	0.379301330559018	0.137	0.0983	0.1753	0.938	0.1417	0.1329	0.548	0.894626642928378	0.809195402298851	5	5
noise_re2	icd_chapter	XV	True	23	11.5	7	0.326	4.43	0.5014	0.513	0.484757621189405	0.011	0.49577154238723	0.1956	0.1468	0.2434	0.982	0.1941	0.1907	1.235	0.403211533496306	1	6	5
noise_re2	icd_chapter	VIII	True	11	6.11	2	0.426	3.18	0.4908	0.5013	0.534732633683158	-0.058	0.523275890962397	0.1718	0.1116	0.2307	0.98	0.175	0.1715	0.615	0.832514755892222	1	7	5
noise_re2	icd_chapter	IX	True	50	19.12	6	0.356	7.45	0.4848	0.4993	0.643178410794603	-0.129	0.551291936164794	0.1368	0.105	0.1683	0.996	0.1316	0.1311	0.351	0.997319225929508	1	8	5
noise_re2	icd_chapter	VI	True	25	14.3	3	0.274	4.65	0.4208	0.4256	0.910044977511244	-0.62	0.732266117080183	0.1222	0.0821	0.1619	0.907	0.1325	0.1202	0.366	0.979397818927739	1	9	5
noise_re2	icd_chapter	XIV	True	43	18.87	7	0.361	7.45	0.4097	0.4261	0.979510244877561	-0.717	0.763310273890426	0.1323	0.0894	0.1746	0.985	0.1448	0.1426	0.517	0.965323924697043	1	10	5
