cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank
C5_sub0	native	Diabetes endpoints	True	4	3	3	0.486	1.97	0.7587	0.7941	0.0414792603698151	1.271	0.101781445587171	0.4144	0.3686	0.4582	1	0.3704	0.3704	5.309	0.139119796617768	0.134782608695652	8
C5_sub0	native	COPD and related endpoints	True	3	2	3	0.656	1.66	0.7215	0.7237	0.0989505247376312	1.029	0.151735694132818	0.3095	0.2447	0.3716	1	0.3072	0.3072	Inf	0.047666543861068	0.255622188905547	9
C5_sub0	native	IV Endocrine, nutritional and metabolic diseases (E4_)	True	23	12.31	12	0.284	4.21	0.5808	0.6184	0.0989505247376312	0.641	0.260675082956112	0.1885	0.1554	0.2211	1	0.2573	0.2573	1.962	0.0846819412911116	0.255622188905547	10
C5_sub0	native	I Certain infectious and parasitic diseases (AB1_)	True	5	4	2	0.495	2.48	0.6093	0.6277	0.216891554222889	0.535	0.296425722965079	0.1861	0.124	0.2467	1	0.2926	0.2926	1.168	0.598182765225001	0.517202936993042	11
C5_sub0	native	XII Diseases of the skin and subcutaneous tissue (L12_)	True	22	12.27	9	0.34	4.83	0.5451	0.5501	0.23688155922039	0.327	0.371865644741859	0.1669	0.1298	0.2034	0.947	0.1983	0.1878	1.221	0.403875025506252	0.524523452559435	12
C5_sub0	native	Rheuma endpoints	True	10	6.07	3	0.443	3.25	0.5111	0.5434	0.456771614192904	0.067	0.473359790605045	0.1892	0.1425	0.2351	1	0.1834	0.1834	0.747	0.768985406266253	0.943994669332001	13
C5_sub0	native	VI Diseases of the nervous system (G6_)	True	26	15.29	10	0.278	4.97	0.4761	0.4792	0.654672663668166	-0.185	0.573494836705796	0.1835	0.1483	0.2182	0.843	0.1775	0.1497	1.098	0.485437821808163	1	14
C5_sub0	native	XV Pregnancy, childbirth and the puerperium (O15_)	True	33	17.42	13	0.284	5.66	0.4336	0.4571	0.902048975512244	-0.539	0.705213290841807	0.1481	0.1138	0.182	0.862	0.1625	0.1401	1.146	0.420589671811556	1	15
C5_sub0	native	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	True	7	5	1	0.457	2.83	0.4166	0.4603	0.762618690654673	-0.451	0.674106950345568	0.1555	0.0903	0.2195	1	0.1919	0.1919	0.288	0.958576841408303	1	16
C5_sub0	native	XIV Diseases of the genitourinary system (N14_)	True	50	21.94	13	0.34	8.12	0.4152	0.4371	0.980009995002499	-0.698	0.757260972387381	0.1078	0.077	0.1383	0.851	0.153	0.1301	0.591	0.962093677347994	1	17
C5_sub0	native	II Neoplasms from hospital discharges (CD2_)	True	12	7.13	2	0.326	3	0.4089	0.3924	0.850574712643678	-0.624	0.733747166278979	0.0868	0.0478	0.1255	0.69	0.1338	0.0924	0.344	0.96664096057026	1	18
C5_sub0	native	XI Diseases of the digestive system (K11_)	True	48	26.89	13	0.254	7.57	0.4076	0.3844	0.982008995502249	-0.773	0.780272578049327	0.0767	0.049	0.1042	0.688	0.1325	0.0912	0.628	0.941910166399938	1	19
C5_sub0	native	Comorbidities of Asthma	True	4	3	1	0.627	2.25	0.3694	0.4517	0.804097951024488	-0.6	0.725849951499207	0.1314	0.0708	0.191	1	0.1826	0.1826	0.581	0.836939798717235	1	20
C5_sub0	native	VIII Diseases of the ear and mastoid process (H8_)	True	16	8.31	3	0.373	3.72	0.3667	0.3995	0.971014492753623	-0.944	0.827308730254081	0.11	0.0668	0.1528	0.819	0.1295	0.106	0.396	0.966099742414247	1	21
C5_sub0	native	Psychiatric endpoints from Katri Räikkönen	True	12	4.23	0	0.726	3.35	0.354	0.3474	0.957021489255372	-0.947	0.828192127454692	0.0503	0.0191	0.0814	0.67	0.0887	0.0595	0	1	1	22
C5_sub0	native	Neurological endpoints	True	4	4	1	0.127	1.38	0.3265	0.3769	0.875562218890555	-1.018	0.845751693926029	0.108	0.0683	0.1473	0.781	0.1329	0.1037	0.581	0.836939798717235	1	23
C5_sub0	native	Gastrointestinal endpoints	True	11	6.23	2	0.499	3.61	0.3202	0.3142	0.984007996001999	-1.077	0.859183373068279	0.0414	-0.0022	0.0848	0.649	0.1026	0.0666	0.383	0.950998736534008	1	24
C5_sub0	native	V Mental and behavioural disorders (F5_)	True	39	13.93	2	0.601	8.77	0.3127	0.2587	1	-1.322	0.906912873758378	0.0308	-0.001	0.0627	0.276	0.0936	0.0258	0.086	0.999999728830091	1	25
